Speaker,Workshop,Date,Time
Yoshua Bengio,https://responsible-fm.github.io/,2025-11-30,Not sure
Kush R. Varshney,https://responsible-fm.github.io/,2025-11-30,Not sure
Diyi Yang,https://responsible-fm.github.io/,2025-11-30,Not sure
Himabindu Lakkaraju,https://responsible-fm.github.io/,2025-11-30,Not sure
Aylin Caliskan,https://responsible-fm.github.io/,2025-11-30,Not sure
Sanmi Koyejo,https://responsible-fm.github.io/,2025-11-30,Not sure
Preslav Nakov,https://responsible-fm.github.io/,2025-11-30,Not sure

Roozbeh Mottaghi,https://mozhgan91.github.io/vlm4rwd-neurips25-ws/,2025-11-30,Not sure
Jiachen Li,https://mozhgan91.github.io/vlm4rwd-neurips25-ws/,2025-11-30,Not sure
Elahe Arani,https://mozhgan91.github.io/vlm4rwd-neurips25-ws/,2025-11-30,Not sure
Yan Wang,https://mozhgan91.github.io/vlm4rwd-neurips25-ws/,2025-11-30,Not sure
Behrad Toghi,https://mozhgan91.github.io/vlm4rwd-neurips25-ws/,2025-11-30,Not sure

Sebastián Ferrada,https://nora-workshop.github.io/2025/,2025-12-01,Not sure
Mustafa Jarrar,https://nora-workshop.github.io/2025/,2025-12-01,Not sure
Tiffany Callahan,https://nora-workshop.github.io/2025/,2025-12-01,Not sure

Serina Chang,https://personallmworkshop.github.io/,2025-12-01,Not sure
Zhijing Jin,https://personallmworkshop.github.io/,2025-12-01,Not sure
Josh Oltmanns,https://personallmworkshop.github.io/,2025-12-01,Not sure
Tim Althoff,https://personallmworkshop.github.io/,2025-12-01,Not sure

Emily Prud’hommeaux,https://clrlcllms.github.io/CLRLCLLMs-workshop.github.io-NeurIPS-2025/,2025-12-01,Not sure
Sunayana Sitaram,https://clrlcllms.github.io/CLRLCLLMs-workshop.github.io-NeurIPS-2025/,2025-12-01,Not sure
Bonaventure F. P. Dossou,https://clrlcllms.github.io/CLRLCLLMs-workshop.github.io-NeurIPS-2025/,2025-12-01,Not sure